tweet_id	tweet_date	tweet_text
836950901495631872	2017-03-01 14:46:59	TT SINGAPORE 22:46 1.Hong Kong 2.#JointAddress 3.PM Lee 4.#HappyBirthdayJustinBieber 5.#climatechange 6.#WONRABBITDAY 7.#Parliament
836950882528989184	2017-03-01 14:46:54	Letting #snapchat prepare me for the day's unseasonable warmth... #climatechange #theendisnigh… https://t.co/uetvn44zEV
836950869639835649	2017-03-01 14:46:51	"""The bill would require the state to get all of its energy — electricity, transportation, and heating by 2050."" #renewables #Sustainability https://t.co/Vj12imOqEZ"
836950847380668416	2017-03-01 14:46:46	Style-Lead don't Follow #recycledfashion https://t.co/uSkC5vTJ1K #CocaCola #sustainability #ecofashion #flowers https://t.co/EXpPOQkF5U
836950839101116421	2017-03-01 14:46:44	‘Shell knew’: oil giant's 1991 film warned of #climatechange danger: https://t.co/dJxGPmjNR4 #cdnpoli #abpoli #divest #ShellKnewToo https://t.co/0wUb9Y6UDs
836950831958224896	2017-03-01 14:46:42	Mythbusting #climate fact: Current Arctic sea ice extent is the lowest in the past several thousand years. https://t.co/XIqk195BhZ https://t.co/aGqS3CrvLv
836950753520427008	2017-03-01 14:46:24	A revolution is required in the way we think about international development if we are to meet the #SDGs! It's happening now at #GFI4SD https://t.co/poqBtKZL27
836950737502494720	2017-03-01 14:46:20	https://t.co/7sDZTyB9hD States need environmental agendas based on social justice #climate #esj #policy https://t.co/LFMXBPDDDY
836950728967081984	2017-03-01 14:46:18	With environmental &amp; social impact less scrutinized, SMEs lag behind on #sustainability reporting @Conferenceboard https://t.co/4kdr52mnj0 https://t.co/acMZEWCX0x
836950727599788035	2017-03-01 14:46:17	so what does solar radiation management look like exactly? https://t.co/O8TzJUc00E .#OpChemtrails #Environment
836950724122710016	2017-03-01 14:46:17	17 Goals - 17 #SDGAdvocates highlighting the #SDGs. Read more: https://t.co/SZV9c0q9qd #GlobalGoals #InclusionMatters #EndPoverty https://t.co/GC8vbX7QY5
836950706489798656	2017-03-01 14:46:12	I explain how @TuckerCarlson induced cognitive dissonance in Bill Nye over climate science: https://t.co/s6d4a0Qayj #climatechange
836950679159721984	2017-03-01 14:46:06	We can't just focus on the metric of economic growth - individuals living the consequences of growth may feel very differently #GFI4SD #SDGs
836950658703974400	2017-03-01 14:46:01	#Throwback #environment #sketch. Back when we were considering having a sci-fi flare in the game. #gamedev #conceptart #indiegame #gameart https://t.co/NwkiCrtqs9
836950658079154176	2017-03-01 14:46:01	It's time to get back to the game and invest in those policies. See you at the #2030HiveMind game tables! #SDGs #2030HiveMind #GFI4SD
836950652186087424	2017-03-01 14:45:59	Don't be exciting about what he said last night. Be terrified about what he didn't say. #climatechange #CivilRights #JointAddress
836950650051313665	2017-03-01 14:45:59	A revolution is required in the way we think about international development if we are to meet the #SDGs! It's happening now at #GFI4SD https://t.co/poqBtKZL27
