word,tag,degree,page_rank
100-year,A,33,0.00013040911517626434
anything,N,219,0.0005443572499968611
disaster,N,33,0.00013040911517626434
ever,R,741,0.001627378862345982
experience,V,33,0.00013040911517626434
flood,N,58,0.00022533182648367225
it,O,7784,0.016097224270008398
many,A,489,0.0011110314917349422
see,V,1507,0.003260534219615231
take,V,2940,0.006080002781511289
they,O,3781,0.007645679225050419
we,O,21107,0.034492004697972055
11th,A,8,7.040624751088499e-05
fight,V,1142,0.0022909566293155452
i,O,7919,0.015133335635267873
my,O,2662,0.005427570634778687
our,O,7070,0.014500563384456652
today,N,3116,0.006313245393558184
weather,N,146,0.00037669810758814663
week,N,1871,0.0035357582231050947
12-year-old,A,80,0.000204875223074414
act,V,1477,0.002936310397130021
action,N,3174,0.006807284524757902
call,V,733,0.0016281518603399891
change,N,3885,0.008318073591256546
duty,N,160,0.0004186510263679237
hear,V,565,0.0012045745615237914
meet,V,240,0.0005936439053947847
moment,N,176,0.0004377289002310855
morning,N,278,0.0006696830671322667
people,N,4017,0.008510913657124976
planet,N,1291,0.002857552417649922
please,V,732,0.0017039147666913282
powerful,A,157,0.0003949236134559663
protect,V,350,0.0008493666253535621
protest,V,400,0.0008356509253169312
raise,V,525,0.0010660630166920851
say,V,1471,0.0033969055555383553
she,O,1575,0.0028751937732064852
speech,N,394,0.0006991232302737907
student,N,2713,0.0057373194817388765
their,O,3163,0.006930328220071138
voice,N,551,0.0011606126024659759
watch,V,404,0.0009629594829166923
world,N,2625,0.005420428538190062
young,A,2701,0.005364850115163692
13th,A,25,0.00010842318046502366
activist,N,766,0.0019067786267384253
best,A,183,0.00047507979039500286
birthday,N,52,0.00016237107055801792
come,V,1232,0.002727742256693598
day,N,1888,0.00408385998247978
even,R,483,0.0011793413521167676
friend,N,199,0.0005060766676350174
get,V,1801,0.004178763648833434
governor,N,25,0.00010842318046502366
great,A,780,0.0018721920315309009
new,A,5208,0.00767233464472157
party,N,208,0.000580395044640174
really,R,320,0.0007641039627562933
sit,V,122,0.00033951851419098094
strike,N,3811,0.008214598437555887
thank,V,638,0.0014065307491791942
you,O,7696,0.01521148314241274
16-year-old,A,114,0.00030776594583213445
22-year-old,A,10,8.024459924534613e-05
84-year-old,A,24,0.00011252368270374521
actually,R,86,0.0002498513685555651
adult,N,696,0.0014628845719250468
conservation,N,40,0.00016921360563462801
crisis,N,2996,0.005688499571500273
expert,N,78,0.00024070865332019798
full,A,305,0.0007237332799775361
huq,N,21,9.416885955876547e-05
join,V,1694,0.0037481683107503244
leader,N,939,0.002072566400606225
make,V,2511,0.005079035354798496
march,V,56,0.00018466475710148634
marching,N,16,0.00010287764490993201
movement,N,785,0.0017424746404526466
need,V,7286,0.010015470847840045
nominate,V,90,0.0002392652577581443
park,N,23,0.00011767790225562972
parliament,N,1556,0.0026668888417310807
peace,N,78,0.00022128228496432799
politician,N,543,0.0012228595688041537
prize,N,108,0.0002773338437036562
protest,N,1378,0.0034861846882532008
quickly,R,41,0.00014418247411800668
school,N,6047,0.011008326535172485
solve,V,183,0.00037810585273649215
start,V,791,0.0016349247700876387
strike,V,807,0.0016368460273214881
sure,A,858,0.001388378428087515
talk,V,409,0.0009900262111226183
teen,N,90,0.000273054448451221
thousand,N,577,0.001216358410962758
us,O,7025,0.013225276079947735
walk,V,156,0.00040832229902686607
21st,A,19,9.34695643260561e-05
fact,N,301,0.000707286661956938
kid,N,1462,0.0032882150461416917
last,A,605,0.0013854671596993124
life,N,1273,0.0025761110523805195
look,V,485,0.0012803906805458746
month,N,144,0.00041220648860829627
responsibility,N,151,0.0003678296440827237
second,A,42,0.00015948512864783127
them,O,4395,0.007762889823576412
way,N,2255,0.00335671078774468
year,N,1108,0.0024733440574042195
31st,A,19,9.434087918542238e-05
allow,V,115,0.0003309892625605392
believe,V,326,0.0008349548628294015
election,N,85,0.0002542379697148822
great,N,19,9.434087918542238e-05
listen,V,369,0.0008115723805591803
real,A,633,0.0012885081299917082
stand,V,1008,0.002111689949056858
tell,V,1218,0.0025302644219025484
time,N,2581,0.0052697946823770875
7yo,N,23,0.00010857829970934454
announce,V,54,0.00021117637610986012
ask,V,264,0.0006807522406440253
bumblebee,N,23,0.00010857829970934454
company,N,630,0.0011391614589045134
cute,A,23,0.00010857829970934454
he,O,453,0.001125628361385563
him,O,116,0.0003295687159745115
his,O,396,0.0009932621558678672
intention,N,23,0.00010857829970934454
put,V,459,0.0011415711215384552
save,V,933,0.0019717793129200418
something,N,769,0.00168463093913054
suggest,V,94,0.0002502640346531925
think,V,3122,0.004850461841646949
want,V,1673,0.0032119515816259525
ability,N,21,9.67672500436886e-05
blog,N,34,0.0001272764760511783
care,V,197,0.000481169840435468
change,V,283,0.0006910167239613378
go,V,2681,0.005497920115659457
late,A,680,0.0014498545850782376
power,N,734,0.0014381522556303449
read,V,248,0.000628571545410424
scared,A,47,0.00015061318755006574
thing,N,504,0.0011116130854205099
able,A,26,0.00010891450723005647
extinction,N,2409,0.005873189021759122
finally,R,67,0.00022487629682291466
keep,V,583,0.0012835127907215925
rebel,N,106,0.000344808100118587
side,N,124,0.0003590562014348313
town,N,183,0.0004309716625397284
absolute,A,260,0.000514020259358221
class,N,502,0.0011211842897262418
criticism,N,260,0.000514020259358221
grotesque,A,260,0.000514020259358221
incompetent,A,260,0.000514020259358221
indulgent,A,260,0.000514020259358221
live,V,1363,0.002505804414599287
load,N,268,0.0005390708121828063
rebellion,N,2597,0.006231557632797614
self,N,279,0.0005727034149033509
share,N,274,0.0005423984319466998
absolutely,R,12,0.00010391754106253603
critical,A,25,0.00015528868608280386
engagement,N,12,0.00010391754106253603
everyone,N,1757,0.0030010113712096373
experience,N,16,0.00011361098535122817
part,N,877,0.0018991741494682507
abuse,V,66,0.00021130997367284205
buy,V,51,0.0002103734815120898
captivity,N,12,0.00010968696960518655
difference,N,271,0.0005729019140364131
dolphin,N,27,0.0001737541582828087
lead,V,420,0.0009701801857214618
lonely,A,17,0.00013701993519735234
memory,N,12,0.00010968696960518657
old,A,1275,0.0025000447730214193
positive,A,172,0.00038190630687519805
profit,N,118,0.00036911516126698
show,N,12,0.00010968696960518655
steal,V,275,0.0006660881571196407
suffer,V,42,0.00018691217967568277
ticket,N,121,0.0003491026318448246
vote,V,211,0.0005254737312546957
academic,N,12,9.380690388633336e-05
letter,N,499,0.0009923164106158137
plan,V,209,0.0004972357794460572
support,V,1393,0.0029977823344413874
teacher,N,232,0.0006507216743646035
throw,V,8,8.377523367742287e-05
weight,N,8,8.377523367742287e-05
academy,N,56,0.00015746831923918748
demand,V,580,0.0012646611894620546
education,N,534,0.001063564441236505
launch,V,80,0.00021602493409504683
lesson,N,644,0.0010838223060240803
science,N,422,0.0009175442411919294
accelerate,V,29,0.0001286399218470999
collapse,N,172,0.0005068225432204039
community,N,142,0.0003980938217529435
deal,N,545,0.0011876401138035595
deep,A,51,0.00019489870051869903
emergency,N,601,0.001522169819673672
federal,A,50,0.0001634242698447646
give,V,586,0.0012719882209596097
green,A,771,0.0016870965764303391
happen,V,438,0.0010505216921499754
lot,N,178,0.0004878855105119183
message,N,444,0.0010482384100309599
recede,V,13,8.775954503214441e-05
screening,N,6,6.933403272851301e-05
sign,N,235,0.000573269936306772
soon,R,416,0.0008739751780645469
trouble,N,13,8.775954503214441e-05
accept,V,504,0.0010031038550585582
affirm,V,20,0.0001000596816655101
amazing,A,221,0.0005256325542423283
avoid,V,98,0.00027429499241898213
bad,A,628,0.0011512679726484905
breakdown,N,264,0.0006456119224870761
cause,V,242,0.0006102165264366812
cent,N,18,0.00011935856847520725
child,N,1274,0.0028182457231198167
citizen,N,106,0.0003242792434464404
clear,A,154,0.00045014221564240264
convenient,A,14,8.207986520031924e-05
damage,N,107,0.0003175471476900983
danger,N,69,0.00021547727232671792
deny,V,77,0.000247857816577142
devastation,N,355,0.0006304599535689885
difficulty,N,20,0.0001000596816655101
discuss,V,65,0.00022312627247677718
dream,N,341,0.0006187117571513687
dumb,A,14,8.574979110543071e-05
endorse,V,34,0.0001340597204640442
estimate,V,18,0.00011935856847520725
excuse,N,378,0.0007272778147587442
fear,N,469,0.0008457683441217675
fight,N,234,0.0005200890750149115
financial,A,21,0.00014130223416644933
future,N,1948,0.003926914862602196
genuine,A,18,0.00011935856847520725
good,A,1102,0.0025400544331491987
government,N,481,0.0011391771798777677
greedy,A,30,0.00012617378729796327
grow,V,378,0.0008212118899915718
honest,A,11,8.107616936459506e-05
hop,V,338,0.0005979098588460511
horror,N,34,0.0001340597204640442
humanity,N,311,0.0007439609145406054
impose,V,18,0.00011935856847520725
inhumane,A,13,8.566228968107453e-05
injustice,N,72,0.00021447425020686234
interest,N,67,0.00021903628476116604
involvement,N,22,0.00013478145393730023
never,R,344,0.00086705523411553
nothing,N,377,0.0009056719477337724
passively,R,48,0.00016654321489336312
perhaps,R,67,0.00024544767854368807
plan,N,133,0.0004368703259636572
population,N,46,0.00018826389705568053
precipitate,V,18,0.00011935856847520725
reality,N,41,0.00015291739847401095
result,N,28,0.00012664132993603952
ruling,N,18,0.00011935856847520725
scientist,N,923,0.001968739034383906
send,V,186,0.0005200087042790395
serious,A,244,0.0005484007444594093
solidarity,N,438,0.001005706766817536
standard,N,4,6.375438562170158e-05
strategy,N,77,0.00028629359156019755
striker,N,727,0.001359572617597613
strong,A,308,0.0006608398222312661
system,N,782,0.001666212797768502
teach,V,55,0.0001849200900696921
thrive,V,34,0.0001340597204640442
truth,N,193,0.0006016207787302811
urgent,A,301,0.0006792450111321095
voiceless,A,17,8.62307295381845e-05
witness,V,44,0.00016461959401142516
wont,V,13,8.566228968107453e-05
word,N,168,0.000395451463453641
write,V,456,0.000904199217812273
yet,R,220,0.0005595392896323487
youth,N,935,0.0020618103255550012
access,N,37,0.00016800301732160553
achieve,V,77,0.0002958575388238385
band,N,19,0.00012459566620310716
begin,V,440,0.0008731051152074632
cold,A,65,0.00026419486015285534
crowd,N,20,0.00011373300980675812
drum,N,30,0.00014087539700534187
electricity,N,46,0.00018024079551467735
energy,N,395,0.0012386494834525632
flag,N,19,0.00011299121626092142
flat,A,20,0.00011464121921528448
food,N,169,0.0005534047751900792
forum,N,34,0.0001517240609126009
free,A,178,0.0005027231121763443
gather,V,54,0.0002035197929533858
goal,N,139,0.0003749801179534536
help,V,566,0.001230346908539913
know-alls,V,20,0.00011464121921528448
light,N,108,0.00038992024394749104
mixed,A,17,0.00010717719344211543
parent,N,322,0.0007535421250270607
phone,N,51,0.00018300554973705433
raw,A,20,0.00011464121921528448
road,N,151,0.00044771451786072776
shower,N,20,0.00011464121921528448
accord,V,388,0.0008076554255414088
already,R,592,0.001200210779487023
anyone,N,52,0.00016795162378075305
beginning,N,370,0.0006454257741758555
big,A,844,0.001993013344002531
coalition,N,10,0.00011515750011485103
continent,N,269,0.000562616356822424
country,N,1360,0.002662472422367396
deforestation,N,67,0.00018643143476317284
