,word,proposed_splitting,count_pre,count_post
0,extremeweather,"['extreme', 'weather']",15,18.0
1,makeyourownseastead,"['make', 'your', 'own', 'sea', 'stead']",2,
2,tideturning,"['tide', 'turning']",1,1.0
3,earthwarrior,"['earth', 'warrior']",1,
4,pregnancy,,3,
5,realpower,"['real', 'power']",1,
6,stayineu,,1,
7,taxes,,1,2.0
8,hinkley,,1,
9,emma,,1,
10,viacarpatia,,1,
11,sustainabilty,,2,2.0
12,roevwade,"['roe', 'v', 'wade']",1,
13,ukraine,,4,
14,lifestyles,,2,
15,wethenorth,"['we', 'the', 'north']",1,
16,perception,,1,
17,refugee,,5,1.0
18,farmed,,1,
19,fbr,,5,2.0
20,climatescam,"['climate', 'scam']",2,
21,repeals,,1,
22,modi,,1,
23,ignorant,,1,
24,marinebiodiversity,"['marine', 'biodiversity']",1,
25,kaust,,2,
26,gasprices,"['gas', 'prices']",1,
27,watershortages,"['water', 'shortages']",1,
28,douro,,2,
29,investing,,1,1.0
30,misnomer,,1,
31,algalbloom,"['algal', 'bloom']",2,
32,foodies,,2,
33,地球温暖化,,13,
34,racists,,1,
35,merkel,,3,
36,armenia,,1,
37,ourislandsourhome,"['our', 'islands', 'our', 'home']",1,
38,organic,,2,4.0
39,cleanair,"['clean', 'air']",23,8.0
40,greenbond,"['green', 'bond']",1,
41,animalovers,"['animal', 'over', 's']",1,
42,endcorruption,"['end', 'corruption']",1,
43,coalash,"['coal', 'ash']",3,1.0
44,globalclimate,"['global', 'climate']",3,
45,veganfortheanimals,"['vegan', 'for', 'the', 'animals']",1,
46,equality,,7,
47,ebooks,"['e', 'books']",1,
48,no2lhr,"['no', '2', 'l', 'hr']",1,
49,crypto,,1,
50,campfirestories,"['campfire', 'stories']",1,
51,acw,"['a', 'cw']",2,
52,sofia,,1,
53,bp,,1,1.0
54,fmnr,,1,
55,fnpoli,,1,
56,globalweirding,,1,1.0
57,3dprinting,"['3', 'd', 'printing']",1,
58,cakifornia,,1,
59,sciblog,"['sci', 'blog']",1,
60,wordwildlifeday,"['word', 'wildlife', 'day']",1,
61,saturdaymorning,,6,3.0
62,jaijagat,,1,
63,leaves,,1,
64,fridaysforfuture,,76,
65,releasethefullmuellerreportnow,,5,
66,fidel,,1,
67,freewebinar,,1,
68,poetryoftheday,"['poetry', 'of', 'the', 'day']",1,
