word	proposed_splitting	count_pre	count_post
climatechange	['climate', 'change']	5035	5030.0
climateaction	['climate', 'action']	467	359.0
actonclimate	['act', 'on', 'climate']	491	325.0
environment		360	191.0
climate		194	348.0
globalwarming	['global', 'warming']	200	223.0
energy		256	126.0
auspol	['australian', 'politics']	187	182.0
sustainability		121	115.0
cdnpoli	['canadian', 'politics']	48	179.0
science		111	114.0
keepitintheground	['keep', 'it', 'in', 'the', 'ground']	140	76.0
greennewdeal	['green', 'new', 'deal']	1	196.0
parisagreement		138	37.0
renewables		106	56.0
climatestrike	['climate', 'strike']	154	
stopadani	['stop', 'adani']	112	26.0
renewableenergy	['renewable', 'energy']	73	55.0
climateemergency	['climate', 'emergency']	1	125.0
ourplanet	['our', 'planet']	1	122.0
biodiversity		36	83.0
walrus		118	
sdgs	['sustainable', 'development', 'goals']	63	49.0
climatechangeisreal	['climate', 'change', 'is', 'real']	56	56.0
climatecrisis	['climate', 'crisis']	9	102.0
nature		40	68.0
qldpol	['queensland', 'politics']	97	11.0
extinctionrebellion	['extinction', 'rebellion']	98	
water		61	35.0
earthday	['earth', 'day']	31	61.0
pollution		41	47.0
solar		47	41.0
arctic		46	39.0
co2		32	50.0
climateactionnow	['climate', 'action', 'now']	2	76.0
innovation		42	36.0
fridaysforfuture	['fridays', 'for', 'future']	76	
trump		32	37.0
cleanenergy	['clean', 'energy']	40	26.0
earth		28	38.0
vegan		37	25.0
globalgoals	['global', 'goals']	42	18.0
panelsnotpipelines	['panels', 'not', 'pipelines']	60	
green		30	27.0
carbon		20	35.0
fossilfuels	['fossil', 'fuels']	36	16.0
airpollution	['air', 'pollution']	30	22.0
sustainable		28	23.0
climatejustice	['climate', 'justice']	28	23.0
agriculture		31	19.0
environmentaljustice	['environmental', 'justice']	18	32.0
carbontax	['carbon', 'tax']	8	41.0
worldenvironmentday	['world', 'environment', 'day']	21	27.0
emissions		35	13.0
savetheplanet	['save', 'the', 'planet']	12	35.0
health		17	30.0
forests		24	22.0
coal		27	19.0
ausvotes2019	['australian', 'votes', '2019']	46	
wildlife		18	28.0
food		24	22.0
blockchain		40	5.0
