created_at,id_str,text,truncated,geo,coordinates,place,retweet_count,favourite_count,in_reply_to_status_id_str,in_reply_to_user_id_str,lang
Sat Jun 30 22:35:06 +0000 2018,1013189209488797697,"#PrideMonth may be ending today, but we will continue to advocate for everyone's right to live as their true self every day, everywhere.

Join us: https://t.co/rm4EvjQRyk https://t.co/kbrhXRXL7P",True,,,,73,,,,en
Sat Jun 30 19:35:07 +0000 2018,1013143915308953606,"“This disaster leaves us in extreme poverty..."" -- Magdalena Sutamul, after the volcanic eruption in Guatemala.

We're delivering humanitarian assistance based on women’s needs &amp; priorities: https://t.co/BWzaXJ0H0z https://t.co/IcJK5eA6K1",True,,,,28,,,,en
Sat Jun 30 18:35:07 +0000 2018,1013128815575470081,"We want more women on ballots 🗳️ when we go out to vote ☑️

On #WorldParliamentDay, see how Lucia ran as a candidate in her local election--and won! https://t.co/xIBZ4ft8D2",True,,,,56,,,,en
Sat Jun 30 16:35:09 +0000 2018,1013098625768009728,"“The idea that sexism &amp; misogyny in online spaces is psychological violence against women must gain widespread acceptance among lawmakers &amp; law enforcement institutions.” #SMDay 
https://t.co/KX46Af97BN",True,,,,107,,,,en
Sat Jun 30 15:05:12 +0000 2018,1013075989885341697,"When women are targeted online, the abuse is more likely to be sustained, sexualized &amp; linked to offline violence.

Let’s speak up to end all forms of violence against women &amp; girls! #SMDay https://t.co/1zpp8Uf1mX",True,,,,209,,,,en
Sat Jun 30 13:35:06 +0000 2018,1013053315935064064,"For a world where nobody would ever have to say #MeToo again, let's transform the online momentum into offline action! #SMDay https://t.co/KStjwKKrA9",True,,,,61,,,,en
Sat Jun 30 12:05:08 +0000 2018,1013030673186263045,"On #SMDay, we’re celebrating women who are leading the charge through social media! Here are six of them:
https://t.co/o5OphSvS3M",False,,,,140,,,,en
Sat Jun 30 10:35:06 +0000 2018,1013008014117359616,"Happy #WorldParliamentDay! 
More #womenMPs in #parliaments is good for society. @IPUparliament https://t.co/qeZcPez9Cf",False,,,,78,,,,en
Sat Jun 30 09:05:07 +0000 2018,1012985372064780289,"While social media can be a sounding horn for women’s rights, many voices are missing due to lack of Internet accessibility. Let’s close the online gender gap! #SMDay  https://t.co/mqyH3AV1AB https://t.co/Y5tMCDM0me",True,,,,80,,,,en
Sat Jun 30 07:35:04 +0000 2018,1012962711037243392,Finding women in politics shouldn't be this hard: https://t.co/PFGKgBTYav #WorldParliamentDay https://t.co/3SwD8s4ZSf,False,,,,209,,,,en
Sat Jun 30 06:05:05 +0000 2018,1012940062709960704,"It's #SMDay! We're celebrating the way social media provides a space to speak up &amp; be heard through movements like #MeToo.

#TimeIsNow for gender equality! https://t.co/ile9Ymb3zI",True,,,,203,,,,en
Sat Jun 30 04:35:03 +0000 2018,1012917408238063618,Parliamentarians can help the world reach a #Planet5050! See how this feminist Georgian #MP is working for equality: https://t.co/cwzqlteanf #WorldParliamentDay,True,,,,22,,,,en
Sat Jun 30 03:35:03 +0000 2018,1012902308814970880,Happy Social Media Day! Get to know 6 activists who are using social media to advocate for gender equality &amp; women's rights: https://t.co/bGy2GEPY1a #SMDay https://t.co/bWU40czgKe,True,,,,119,,,,en
Sat Jun 30 02:35:04 +0000 2018,1012887213162541056,"We all have a part to play to end gender-based cyber violence. 
This #SMDay, get some tips of action from Nandini, a young activist in India: https://t.co/yC2fS78q6a https://t.co/t3Kb8N1Qtn",True,,,,40,,,,en
Sat Jun 30 01:37:00 +0000 2018,1012872598391263233,"Women are powerful actors in sustaining peace, but they make up a minority of @UNPeacekeeping forces around the world. The #TimeIsNow to change this! https://t.co/fsXI6DL5aj",True,,,,227,,,,en
Fri Jun 29 22:35:06 +0000 2018,1012826820276781058,"💢Our new report shows how ISIL strategically crafted its messages to women to persuade them to adhere to its moral code &amp; governance model:
https://t.co/Z7AueDSrW4",True,,,,24,,,,en
Fri Jun 29 20:35:07 +0000 2018,1012796627843764224,"This #SMDay, meet 6 activists harnessing the power of social media, engaging women &amp; men in tough conversations &amp; raising awareness about gender equality &amp; women’s rights:
https://t.co/o5OphSvS3M",True,,,,35,,,,en
Fri Jun 29 19:35:08 +0000 2018,1012781532593836032,Understanding the gender considerations in preventing violent extremism is critical. Remarks by our Deputy Executive Director @regner_asa: https://t.co/RTcflALfqc https://t.co/vh0XuK1Cg4,True,,,,35,,,,en
Fri Jun 29 16:34:22 +0000 2018,1012736039033753601,1000s of Guatemalans recently lost their homes in the eruption of #VolcánDeFuego. See how women play key roles in rescue &amp; relief efforts: https://t.co/zv3fgbzNox,True,,,,51,,,,en
Fri Jun 29 10:35:06 +0000 2018,1012645628478967808,Yuan Feng wears many hats with one purpose: to end domestic violence in China. https://t.co/K3JnrlpgHo https://t.co/3r9sLLhdok,False,,,,62,,,,en
Fri Jun 29 10:27:53 +0000 2018,1012643813104521217,"RT @unwomenasia: From June 27 to 29, @UNESCAP and @UNOSSC hold Good Practices for the South-South Cooperation in Asia and the Pacific exhib…",False,,,,0,,,,en
Fri Jun 29 10:26:10 +0000 2018,1012643378230636544,RT @UNDP: June 30 deadline for all #womeninbiz worldwide to enter our #SDGsAndHer contest with @WorldBank @Wharton &amp; @UN_Women! Are you bri…,False,,,,0,,,,en
Fri Jun 29 07:35:05 +0000 2018,1012600325965058048,"Get inspired to fight discrimination against #LGBTI community with Sandra Moran's story, the 1st openly lesbian Congresswoman in 🇬🇹: https://t.co/Btyfp7zRGB #Pride https://t.co/BqUchcV3UY",True,,,,64,,,,en
Fri Jun 29 04:35:05 +0000 2018,1012555026055794688,Check out the 1st report to provide a comprehensive examination of the nature &amp; prevalence of violence against women and girls in Jamaica:  https://t.co/0RuAt1Yu5K https://t.co/aM11YVPER9,True,,,,35,,,,en
Fri Jun 29 01:36:00 +0000 2018,1012509958682767360,We can't achieve the #GlobalGoals while women all around the world continue to endure exclusion &amp; discrimination. Stand up &amp; speak our for gender equality! https://t.co/Xvc2NuBEzF,True,,,,520,,,,en
Thu Jun 28 22:35:07 +0000 2018,1012464436697796610,"Check out @unwomenarabic's new report, which reveals how ISIL used women &amp; purportedly their voices as tools to promote its rigid social order &amp; subjugation of women:
https://t.co/Z7AueDSrW4",True,,,,31,,,,en
Thu Jun 28 22:18:05 +0000 2018,1012460151033552896,"RT @ilo: In many cultures, women are often responsible for caring for their families. New @ilo report shows that women are performing more…",False,,,,0,,,,en
Thu Jun 28 20:00:38 +0000 2018,1012425563393445888,"Comedy is one of the most powerful tools to combat gender inequality and toxic ideologies. @unwomenasia will present its work on #ComedyForEquality in NYC tomorrow, ft. videos from @EastIndiaComedy &amp; @cameoproject_ &amp; stand-up from the brilliant @aparnapkin. https://t.co/DJMK3HFwki",True,,,,18,,,,en
Thu Jun 28 19:35:08 +0000 2018,1012419146284437505,"A changing climate affects everyone, but it’s the world’s poorest and those in vulnerable situations, especially women and girls, who bear the brunt of environmental, economic and social shocks. 

Stand up for #ClimateAction ➡️ https://t.co/nHnIsHAX8L https://t.co/bb9Ggp6LBU",True,,,,40,,,,en
Thu Jun 28 19:08:20 +0000 2018,1012412401034186754,"RT @unwomenasia: Regardless of who you are, everyone has the same rights. Are you with us? RT if you agree and join in on the last week of…",False,,,,0,,,,en
Thu Jun 28 19:06:13 +0000 2018,1012411866382061569,"RT @UNICEF: Today a reader. Tomorrow a leader.

This is how we are getting children like 9-year-old Tabark back to school in Iraq. https://…",False,,,,0,,,,en
