created_at,id,text,retweet_count,favorite_count,original_retweet_count,original_favorite
Sat Mar 02 09:14:52 +0000 2019,1101772852863340544,Extinction @ExtinctionR  are right. Only radical disruptive action is going to have any effect. Corporate and elite interests have railroaded through terribly destructive economic policy. #ClimateCrisis https://t.co/txD9fp1spt,0,1,,
Sat Mar 02 09:14:52 +0000 2019,1101772852586409988,“We only have 12 years to fix this” is the most unscientific and unserious language around #climatechange and anyonenolder than 30 should know better. #GreenNewDeal is socialism with new packaging.,0,0,227.0,1038.0
Sat Mar 02 09:14:50 +0000 2019,1101772843694608384,Our voices are loud &amp; clear. We need #Climateaction now. I was inspired to do more after seeing the energy levels of those who are younger than me. Thank you @GretaThunberg for uniting us against #ClimateChange #FridaysForFuture #climatestrike @AfricaCRP @WeDontHaveTime0 @nemaug https://t.co/7sSJkKF7gj,0,0,438.0,1413.0
Sat Mar 02 09:14:49 +0000 2019,1101772840980832256,@MeganMcCubbin @HouseofCommons @CarolineLucas @mimsdavies @ExtinctionR @TheCCoalition @GretaThunberg @peoplesvote_uk @GreenpeaceUK @ChrisGPackham @BellaLack Prime Minister @theresa_may lectured students about playing hooky from school in order to #ClimateStrike. So why isn’t she lecturing MPs about playing hooky from Parliament? #FridaysForFurture #SchoolStrike4Climate,0,0,25.0,55.0
Sat Mar 02 09:14:42 +0000 2019,1101772811763412992,"We're thanking people working on the climate crises outside of @rothkochapel #rothkochapelsymposium #transformingclimatecrisis 
#FridaysforFuture 
#climatestrike 
#Houston https://t.co/EJMIK5zK6w",0,0,55.0,332.0
Sat Mar 02 09:14:42 +0000 2019,1101772809896951808,"Day 84 — #ringthebellforclimate 

Week 7 - #ClimateStrike

Des Moines, Iowa, State Capitol 11:58
Getting the place warmed up for #YouthStrike4Climate on March 15th (see @iowastrike)

 @FFF_USA @Strike4Youth

I had company. (Waiting for footage) https://t.co/y5Ypc0RPCY",0,0,124.0,594.0
Sat Mar 02 09:14:36 +0000 2019,1101772786664652800,"A-maize-ing. 🌽

These communities in #Zimbabwe can finally grow food again with new farming techniques to adapt to #ClimateChange. @postcodelottery https://t.co/KQXcZOINdC",0,0,23.0,67.0
Sat Mar 02 09:14:31 +0000 2019,1101772764007010304,"""The sharp increase in methane emissions correlates closely with the U.S. fracking boom,""

""Leaking and venting of unburned gas—which is mostly methane—makes natural gas even worse for the climate than coal.""

#ClimateChange #KeepItInTheGround https://t.co/jNo8CqHIWV",0,0,594.0,452.0
Sat Mar 02 09:14:29 +0000 2019,1101772755362553856,"BAM! More than 10,000 march out in Hamburg this morning to demand action on #climatechange.

The youth are rising, and they want our future back.

 #ActOnClimate #climate #energy #cdnpoli #ClimateMarch #FridaysForFuture #GreenNewDeal #PanelsNotPipelines with @GretaThunberg https://t.co/44Wvrw0kCE",0,0,798.0,1740.0
Sat Mar 02 09:14:15 +0000 2019,1101772694696218624,"It's Friday! It's March! Here's the plan:

- Extend #Article50.

- Hold a #PeoplesVote.

- #StopBrexit.

- Get the #ToriesOut.

- End #Austerity.

- Deal with #climatechange.

Sound good?

👍",0,0,404.0,1389.0
Sat Mar 02 09:14:12 +0000 2019,1101772683312840704,“We only have 12 years to fix this” is the most unscientific and unserious language around #climatechange and anyonenolder than 30 should know better. #GreenNewDeal is socialism with new packaging.,0,0,227.0,1038.0
Sat Mar 02 09:14:10 +0000 2019,1101772675813277696,"BAM! More than 10,000 march out in Hamburg this morning to demand action on #climatechange.

The youth are rising, and they want our future back.

 #ActOnClimate #climate #energy #cdnpoli #ClimateMarch #FridaysForFuture #GreenNewDeal #PanelsNotPipelines with @GretaThunberg https://t.co/44Wvrw0kCE",0,0,798.0,1740.0
Sat Mar 02 09:14:07 +0000 2019,1101772663494795269,"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself. 

#Peace #wisdom #wellness #betterment #PeaceGesture #PeaceLovingPakistan #PakistanLeadsWithPeace #climatechange 

#retweetplease if #youcan #hear this #image https://t.co/cUiCuAGgBi",6,46,,
Sat Mar 02 09:14:00 +0000 2019,1101772633639510016,"We're thanking people working on the climate crises outside of @rothkochapel #rothkochapelsymposium #transformingclimatecrisis 
#FridaysforFuture 
#climatestrike 
#Houston https://t.co/EJMIK5zK6w",0,0,55.0,332.0
Sat Mar 02 09:13:56 +0000 2019,1101772617088929793,"Heeding @GretaThunberg’s call with @MollyNiedbala for #ClimateStrike and #FridaysForFurture — week 11 at the State House in Boston MA.

Looking forward to @AlexandriaV2005’s @climatestrikeUS on 3/15! https://t.co/3DuJ91rmd2",0,0,72.0,352.0
Sat Mar 02 09:13:55 +0000 2019,1101772614157156352,@MilesKing10 All the MPs who skived off this debate should have to sit a #ClimateChange Science exam set by #climate scientists @andrealeadsom. They should also get detention if they fail it and be made to re-take it till they pass. #SchoolStrike4Climate #FridayForFuture #ClimateEmergency,1,1,,
Sat Mar 02 09:13:50 +0000 2019,1101772593202368512,"To mark the passage of #ClimateStrike Week 28 and that eerie, whistling sound of silence in the ""corridors of power where leaders lurk"" here are a few views of the ""heat map"" of human activity from those concerned about #ClimateBreakdown who won't be fobbed off, ever.

10Y 9M 30D https://t.co/3yf1dc41Pp",0,0,332.0,1002.0
Sat Mar 02 09:13:50 +0000 2019,1101772589947633664,"@bridsmithTD @rosdub A sacrifice for kids is NOT giving up school for a day but giving up foreign holidays for life. NOW how many kids are protesting for that? Nonsense idea from teachers who would rather be ANYWHERE bar the classroom
#climatechange",0,2,,
Sat Mar 02 09:13:47 +0000 2019,1101772577977126912,"Is it okay to enjoy warm weather caused by climate change?

#climatechange

https://t.co/p9IFAwCPq6",0,2,,
Sat Mar 02 09:13:47 +0000 2019,1101772577264099328,"To mark the passage of #ClimateStrike Week 28 and that eerie, whistling sound of silence in the ""corridors of power where leaders lurk"" here are a few views of the ""heat map"" of human activity from those concerned about #ClimateBreakdown who won't be fobbed off, ever.

10Y 9M 30D https://t.co/3yf1dc41Pp",0,0,332.0,1002.0
Sat Mar 02 09:13:46 +0000 2019,1101772576563564547,The problem isn't that we have too little fossil fuel and need to find more. The problem is we have too much and can't afford to burn it. Stop fossil fuel exploration. #climatechange https://t.co/rSYPMV08r5,0,0,169.0,409.0
Sat Mar 02 09:13:40 +0000 2019,1101772548549869568,"""Greenhouse gases are increasingly disrupting the jet stream, a powerful river of winds that steers weather systems in the Northern Hemisphere.""

""That's causing more frequent summer droughts, floods and wildfires,""

#ClimateChange #ActOnClimate https://t.co/fXXib0UAII",0,0,177.0,118.0
Sat Mar 02 09:13:38 +0000 2019,1101772541025234949,"Cold winds at #climatestrike had me like a 🐢, but convos w/ people passing by, recorded by a journalist that joined me, kept me warm. ☺️ Been a FULL week for @climatestrikeUS! US Youth Climate Strike is growing FAST. Excited to show the 🌎 on March 15 how much US youth care!! https://t.co/ZviTZC3sIA",0,0,232.0,1045.0
Sat Mar 02 09:13:37 +0000 2019,1101772535530696704,"Happening right now in Hamburg: Thousands of young people call out for #ClimateAction on the #FridaysForFuture #climatestrike. 
@GretaThunberg is joining the protest.
@greenpeace_de @Greenpeace @ClimateReality @UNFCCC @Climatepledgeco @ClimateHome @ClimateChance @FridayForFuture https://t.co/NaGIeGUAOH",0,0,853.0,2770.0
Sat Mar 02 09:13:34 +0000 2019,1101772526617792512,"All #animals are beautiful💖
That includes you.💖
All animals need our protection.🦏
That needs you!🤔
The 6th mass extinction &amp; #climatechange are being driven be the meat industry!
Go #vegan🐾🌎💕

@Protect_Wldlife @PeterEgan6 @BellaLack @Animal_Watch @Ivy_Middleton https://t.co/7EugeQNbYv",0,0,106.0,181.0
Sat Mar 02 09:13:33 +0000 2019,1101772521471266816,Congrats @elonmusk You've done it. You've forced the auto industry to go electric. You've disrupted transportation and you've created a way to make a seriously positive impact on the environment. Thanks you for your tireless effort. My kids thank you. $TSLA #climatechange,0,0,908.0,8383.0
Sat Mar 02 09:13:29 +0000 2019,1101772502655815680,"School strike week 28. In Hamburg with @Luisamneubauer 
#climatestrike #fridaysforfuture #schoolstrike4climate https://t.co/XhE3WtVS5D",0,0,969.0,4598.0
