created_at,id,text,retweet_count,favorite_count,original_retweet_count,original_favorite
Tue Jun 12 00:09:46 +0000 2018,1006327664976617472,Our new paper in @NatureClimate shows that temperature goals alone are not sufficient for understanding future #extremeweather - composition limits also needed @BristolUni @ecioxford @cabotinstitute @ssparrow01 #climatechange https://t.co/nUhw7XtRcM,0,0,32.0,50.0
Tue Jun 12 00:09:40 +0000 2018,1006327640226189318,"“The transition to accessible and clean energy is a duty that we owe towards millions of our brothers and sisters around the world, poorer countries and generations yet to come” - @Pontifex Francis https://t.co/RSzXXlgt7Z #LaudatoSi #ParisAgreement https://t.co/oxZmx9vtuE",0,0,128.0,174.0
Tue Jun 12 00:09:26 +0000 2018,1006327582235688961,"The federal government won't lead on climate, but #WeAreStillIn on the goals of the #ParisAgreement. Sign up to learn how.",0,0,1349.0,2434.0
Tue Jun 12 00:09:26 +0000 2018,1006327581556084736,"Extreme Hurricane Rainfall Expected to Increase in a Warmer World #myccnotes #stayinformedcc #AMOC #wutv #arcticmelt #ConveyorBelt #Thermohaline #Ocean #Circulation #Slowdown 
#Collapse #ClimateChange #globalwarming #IceMelt https://t.co/VYuLMfYVsm https://t.co/AWX0ud3Tlz",1,0,,
Tue Jun 12 00:09:14 +0000 2018,1006327528397697025,"""UN Women: Women To Be Heard When Tackling Climate Change"": https://t.co/M5zMh02wwM #climatechange #climateaction 
#environment 
#energy https://t.co/ugbSHHd0Ez",2,1,,
Tue Jun 12 00:09:12 +0000 2018,1006327521825230848,"Indigenous Communities in the Arctic Threatened By Climate Change: https://t.co/8JYbsvRDy6 #climatechange #climateaction 
#environment 
#energy https://t.co/krG6blurJb",0,0,,
Tue Jun 12 00:09:07 +0000 2018,1006327498789961729,"""We must be more ambitious when it comes to tackling this urgent global challenge."" - @jacindaardern  https://t.co/hLuR6TvHlG    via @guardian #climatechange #NZ https://t.co/azRJ9EmKkm",0,0,39.0,54.0
Tue Jun 12 00:08:50 +0000 2018,1006327429038735361,"While Trump indicated his plan to withdraw the U.S. from the #ParisAgreement a year ago, the number of U.S. cities, universities, and businesses that have reaffirmed their commitment to climate action is now in the thousands—and rising. Take action: https://t.co/xq8dhVhBRS https://t.co/8PO1xkGr6D",0,0,119.0,196.0
Tue Jun 12 00:08:19 +0000 2018,1006327301074612224,Climate and your diet #eatlessmeat #climatechange https://t.co/XYjXsY6Um1,0,0,,
Tue Jun 12 00:08:14 +0000 2018,1006327279243259904,"“The transition to accessible and clean energy is a duty that we owe towards millions of our brothers and sisters around the world, poorer countries and generations yet to come” - @Pontifex Francis https://t.co/RSzXXlgt7Z #LaudatoSi #ParisAgreement https://t.co/oxZmx9vtuE",0,0,128.0,174.0
Tue Jun 12 00:08:11 +0000 2018,1006327265272229889,"To combat #climatechange, we must adjust the way we live our lives — from how we produce to how we consume to the how we interact with the habitats around us.

How technology is helping: https://t.co/g9WkdStSTk #SocialGoodTech",1,1,,
Tue Jun 12 00:07:45 +0000 2018,1006327158116110337,"A Canadian company, backed by @BillGates, says it has reached an important threshold in developing technology that can remove #CO2 from the air. #climatechange https://t.co/LNC98JSKox",0,0,2.0,5.0
Tue Jun 12 00:07:38 +0000 2018,1006327129120768000,"“About two billion people rely on rice as a primary food source and among those that are the poorest, often the consumption of rice in terms of their daily calories is over 50%,”

#ActOnClimate #ClimateChange  https://t.co/No35Z3ADmv",0,0,67.0,47.0
