tweet,index,text,pos,conf
1101772852863340544,7,disruptive,A,0.988
1101772852863340544,8,action,N,0.9994
1101772852863340544,10,go,V,0.986
1101772852863340544,14,effect,N,0.9854
1101772852863340544,19,interest,N,0.9982
1101772852863340544,23,terribly,R,0.9908
1101772852863340544,24,destructive,A,0.9968
1101772852863340544,26,policy,N,0.9996
1101772852863340544,29,crisis,N,0.9795
1101772852586409988,1,we,O,0.9954
1101772852586409988,5,year,N,0.9965
1101772852586409988,7,fix,V,0.999
1101772852586409988,13,unscientific,A,0.9983
1101772852586409988,15,unserious,A,0.9966
1101772852586409988,16,language,N,0.9976
1101772852586409988,18,climate,N,0.9745
1101772852586409988,25,know,V,0.9984
1101772852586409988,30,deal,N,0.9787
1101772852586409988,32,socialism,N,0.9722
1101772852586409988,34,new,A,0.9939
1101772852586409988,35,packaging,N,0.9987
1101772843694608384,1,voice,N,0.997
1101772843694608384,3,loud,A,0.987
1101772843694608384,7,we,O,0.9977
1101772843694608384,8,need,V,0.9961
1101772843694608384,10,action,N,0.9962
1101772843694608384,20,see,V,0.9988
1101772843694608384,22,energy,N,0.9874
1101772843694608384,23,level,N,0.9975
1101772843694608384,28,young,A,0.9966
1101772843694608384,30,me,O,0.999
1101772843694608384,32,thank,V,0.9832
1101772843694608384,33,you,O,0.9988
1101772843694608384,36,unite,V,0.998
1101772843694608384,37,us,O,0.9646
1101772843694608384,44,climate,N,0.9918
1101772840980832256,17,play,V,0.9953
1101772840980832256,20,school,N,0.9915
1101772840980832256,29,she,O,0.9984
1101772840980832256,30,lecture,V,0.9996
1101772840980832256,33,play,V,0.9953
1101772840980832256,41,climate,N,0.9894
1101772811763412992,1,thank,V,0.9679
1101772811763412992,2,people,N,0.9966
1101772811763412992,3,work,V,0.999
1101772811763412992,6,climate,N,0.9865
1101772811763412992,7,crisis,N,0.9836
1101772811763412992,11,transform,V,0.9968
1101772811763412992,12,climate,N,0.9792
1101772811763412992,13,crisis,N,0.9894
1101772811763412992,17,climate,N,0.9918
1101772809896951808,18,get,V,0.9949
1101772809896951808,20,place,N,0.9961
1101772809896951808,21,warm,V,0.999
1101772809896951808,27,climate,N,0.9907
1101772809896951808,39,company,N,0.9946
1101772809896951808,42,wait,V,0.9867
1101772809896951808,44,footage,N,0.9914
1101772786664652800,4,community,N,0.9991
1101772786664652800,8,finally,R,0.9977
1101772786664652800,9,grow,V,0.9834
1101772786664652800,10,food,N,0.9881
1101772786664652800,13,new,A,0.9945
1101772786664652800,14,farming,N,0.9859
1101772786664652800,15,technique,N,0.9963
1101772786664652800,17,adapt,V,0.9994
1101772764007010304,2,sharp,A,0.9698
1101772764007010304,5,methane,N,0.9712
1101772764007010304,6,emission,N,0.9953
1101772764007010304,8,closely,R,0.9941
1101772764007010304,17,leak,V,0.9712
1101772764007010304,22,gas,N,0.9947
1101772764007010304,29,make,V,0.993
1101772764007010304,31,gas,N,0.9977
1101772764007010304,32,even,R,0.999
1101772764007010304,33,bad,A,0.9947
1101772764007010304,36,climate,N,0.9932
1101772764007010304,40,keep,V,0.9935
1101772764007010304,41,it,O,0.994
1101772755362553856,10,morning,N,0.9978
1101772755362553856,13,action,N,0.9892
1101772755362553856,15,climate,N,0.979
1101772755362553856,18,youth,N,0.9663
1101772755362553856,23,they,O,0.9965
1101772755362553856,24,want,V,1.0
1101772755362553856,30,energy,N,0.9961
1101772755362553856,38,deal,N,0.9643
1101772755362553856,39,panel,N,0.9948
1101772694696218624,8,plan,N,0.9852
1101772694696218624,14,hold,V,0.964
1101772694696218624,21,get,V,0.9993
1101772694696218624,26,austerity,N,0.97
1101772694696218624,27,deal,N,0.9684
1101772694696218624,29,climate,N,0.9622
1101772694696218624,32,good,A,0.9938
1101772683312840704,1,we,O,0.9954
1101772683312840704,5,year,N,0.9965
1101772683312840704,7,fix,V,0.999
1101772683312840704,13,unscientific,A,0.9983
1101772683312840704,15,unserious,A,0.9966
1101772683312840704,16,language,N,0.9976
1101772683312840704,18,climate,N,0.9745
1101772683312840704,25,know,V,0.9984
1101772683312840704,30,deal,N,0.9787
1101772683312840704,32,socialism,N,0.9722
1101772683312840704,34,new,A,0.9939
1101772683312840704,35,packaging,N,0.9987
1101772675813277696,10,morning,N,0.9978
1101772675813277696,13,action,N,0.9892
1101772675813277696,15,climate,N,0.979
1101772675813277696,18,youth,N,0.9663
1101772675813277696,23,they,O,0.9965
1101772675813277696,24,want,V,1.0
1101772675813277696,30,energy,N,0.9961
1101772675813277696,38,deal,N,0.9643
1101772675813277696,39,panel,N,0.9948
1101772663494795269,3,clever,A,0.9943
1101772663494795269,7,want,V,0.9987
1101772663494795269,9,change,V,0.9922
1101772663494795269,11,world,N,0.9916
1101772663494795269,13,today,N,0.9899
1101772663494795269,16,wise,A,0.9985
1101772663494795269,21,change,V,0.9746
1101772663494795269,23,wisdom,N,0.9683
1101772663494795269,25,betterment,N,0.9675
1101772663494795269,35,climate,N,0.9712
1101772663494795269,39,please,V,0.992
1101772663494795269,41,you,O,0.9997
1101772663494795269,43,hear,V,0.9983
1101772663494795269,45,image,N,0.9974
1101772633639510016,1,thank,V,0.9679
1101772633639510016,2,people,N,0.9966
1101772633639510016,3,work,V,0.999
1101772633639510016,6,climate,N,0.9865
1101772633639510016,7,crisis,N,0.9836
1101772633639510016,11,transform,V,0.9968
1101772633639510016,12,climate,N,0.9792
1101772633639510016,13,crisis,N,0.9894
1101772633639510016,17,climate,N,0.9918
1101772617088929793,20,look,V,0.998
1101772614157156352,5,skive,V,0.9751
1101772614157156352,8,debate,N,0.9981
1101772614157156352,12,sit,V,0.9995
1101772614157156352,14,climate,N,0.9845
1101772614157156352,17,exam,N,0.9978
1101772614157156352,21,scientist,N,0.9966
1101772614157156352,24,they,O,0.9914
1101772614157156352,26,also,R,0.9927
1101772614157156352,27,get,V,0.997
1101772614157156352,28,detention,N,0.9707
1101772614157156352,30,they,O,0.9961
1101772614157156352,31,fail,V,0.999
1101772614157156352,32,it,O,0.9941
1101772614157156352,35,make,V,0.9801
1101772614157156352,37,re-take,V,0.9991
1101772614157156352,38,it,O,0.9895
1101772614157156352,40,they,O,0.9904
1101772614157156352,46,climate,N,0.9746
1101772614157156352,50,climate,N,0.9843
1101772614157156352,51,emergency,N,0.9731
1101772593202368512,3,passage,N,0.9984
1101772593202368512,7,week,N,0.974
1101772593202368512,13,whistle,V,0.9949
1101772593202368512,16,silence,N,0.9903
1101772593202368512,20,corridor,N,0.9965
1101772593202368512,24,leader,N,0.9755
1101772593202368512,31,view,N,0.9997
1101772593202368512,36,map,N,0.9666
1101772593202368512,40,activity,N,0.9996
1101772593202368512,46,breakdown,N,0.9939
1101772593202368512,53,ever,R,0.9837
1101772589947633664,3,sacrifice,N,0.9953
1101772589947633664,8,give,V,0.9998
1101772589947633664,10,school,N,0.9927
1101772589947633664,13,day,N,0.996
1101772589947633664,15,give,V,0.9991
1101772589947633664,18,holiday,N,0.9959
1101772589947633664,20,life,N,0.9905
1101772589947633664,24,many,A,0.9873
1101772589947633664,25,kid,N,0.9922
1101772589947633664,27,protest,V,0.9966
1101772589947633664,32,idea,N,0.9649
1101772589947633664,36,would,V,0.9994
1101772589947633664,37,rather,R,0.9904
1101772589947633664,39,anywhere,R,0.9922
1101772589947633664,42,climate,N,0.9934
1101772577977126912,1,it,O,0.9964
1101772577977126912,4,enjoy,V,0.999
1101772577977126912,5,warm,A,0.9908
1101772577977126912,7,cause,V,0.9877
1101772577264099328,3,passage,N,0.9984
1101772577264099328,7,week,N,0.974
1101772577264099328,13,whistle,V,0.9949
1101772577264099328,16,silence,N,0.9903
1101772577264099328,20,corridor,N,0.9965
1101772577264099328,24,leader,N,0.9755
1101772577264099328,31,view,N,0.9997
1101772577264099328,36,map,N,0.9666
1101772577264099328,40,activity,N,0.9996
1101772577264099328,46,breakdown,N,0.9939
1101772577264099328,53,ever,R,0.9837
1101772576563564547,1,problem,N,0.999
1101772576563564547,4,we,O,0.9989
1101772576563564547,9,fuel,N,0.9949
1101772576563564547,11,need,V,0.9904
1101772576563564547,13,find,V,0.999
1101772576563564547,17,problem,N,0.9994
1101772576563564547,19,we,O,0.9996
1101772576563564547,24,cannot,V,0.9989
1101772576563564547,25,afford,V,0.9992
1101772576563564547,27,burn,V,0.9994
1101772576563564547,28,it,O,0.9774
1101772576563564547,30,stop,V,0.971
1101772576563564547,32,fuel,N,0.9945
1101772576563564547,33,exploration,N,0.9997
1101772576563564547,35,climate,N,0.9618
1101772548549869568,2,gas,N,0.9976
1101772548549869568,4,increasingly,R,0.9955
1101772548549869568,5,disrupt,V,0.9987
1101772548549869568,7,jet,N,0.9861
1101772548549869568,11,powerful,A,0.9884
1101772548549869568,12,river,N,0.9825
1101772548549869568,14,wind,N,0.9696
1101772548549869568,18,system,N,0.9907
1101772548549869568,27,cause,V,0.9933
1101772548549869568,29,frequent,A,0.9915
1101772548549869568,30,summer,N,0.9945
1101772548549869568,31,drought,N,0.9961
1101772541025234949,1,wind,N,0.9993
1101772541025234949,4,strike,N,0.9656
1101772541025234949,6,me,O,0.9987
1101772541025234949,14,people,N,0.9985
1101772541025234949,15,pass,V,0.9983
1101772541025234949,18,record,V,0.9893
1101772541025234949,21,journalist,N,0.998
1101772541025234949,23,join,V,0.9985
1101772541025234949,24,me,O,0.996
1101772541025234949,26,keep,V,0.9995
1101772541025234949,27,me,O,0.9979
1101772541025234949,34,full,A,0.9912
1101772541025234949,35,week,N,0.9988
1101772541025234949,49,show,V,0.9715
1101772535530696704,0,happen,V,0.9939
1101772535530696704,6,thousand,N,0.9777
1101772535530696704,8,young,A,0.9973
1101772535530696704,9,people,N,0.9994
1101772535530696704,10,call,V,0.9781
1101772535530696704,14,action,N,0.9885
1101772535530696704,20,climate,N,0.9918
1101772535530696704,24,join,V,0.9968
1101772535530696704,26,protest,N,0.9994
1101772526617792512,1,animal,N,0.9917
1101772526617792512,5,include,V,0.9999
1101772526617792512,6,you,O,0.9977
1101772526617792512,10,animal,N,0.9907
1101772526617792512,11,need,V,0.9991
1101772526617792512,13,protection,N,0.9996
1101772526617792512,17,need,V,0.9997
1101772526617792512,18,you,O,0.9936
1101772526617792512,23,mass,N,0.9653
1101772526617792512,24,extinction,N,0.9993
1101772526617792512,26,climate,N,0.9744
1101772526617792512,30,drive,V,0.991
1101772526617792512,33,meat,N,0.9671
1101772526617792512,34,industry,N,0.9988
1101772526617792512,36,go,V,0.9729
1101772521471266816,4,it,O,0.9749
1101772521471266816,10,industry,N,0.9966
