id,index,text,pos,conf
1013189209488797697,2,may,V,0.9752
1013189209488797697,4,end,V,0.9888
1013189209488797697,5,today,N,0.9923
1013189209488797697,8,we,O,0.9986
1013189209488797697,10,continue,V,0.9994
1013189209488797697,17,live,V,0.9708
1013189209488797697,20,true,A,0.9824
1013189209488797697,21,self,N,0.9933
1013189209488797697,23,day,N,0.9991
1013189209488797697,25,everywhere,R,0.9935
1013189209488797697,27,join,V,0.9982
1013143915308953606,2,disaster,N,0.9943
1013143915308953606,3,leave,V,0.9793
1013143915308953606,4,us,O,0.9639
1013143915308953606,7,poverty,N,0.9983
1013143915308953606,17,eruption,N,0.9676
1013143915308953606,22,deliver,V,0.9886
1013143915308953606,24,assistance,N,0.9994
1013143915308953606,30,priority,N,0.9961
1013128815575470081,0,we,O,0.9977
1013128815575470081,1,want,V,0.9996
1013128815575470081,3,woman,N,0.9962
1013128815575470081,5,ballot,N,0.9927
1013128815575470081,8,we,O,0.9961
1013128815575470081,9,go,V,0.9997
1013128815575470081,12,vote,V,0.9893
1013128815575470081,18,see,V,0.9902
1013128815575470081,21,run,V,0.9846
1013128815575470081,24,candidate,N,0.9994
1013128815575470081,28,election,N,0.9995
1013098625768009728,2,idea,N,0.9876
1013098625768009728,8,online,A,0.975
1013098625768009728,9,space,N,0.9989
1013098625768009728,11,psychological,A,0.9902
1013098625768009728,12,violence,N,0.999
1013098625768009728,15,must,V,0.9959
1013098625768009728,16,gain,V,0.9968
1013098625768009728,17,widespread,A,0.9893
1013098625768009728,18,acceptance,N,0.9992
1013098625768009728,23,enforcement,N,0.9969
1013098625768009728,24,institution,N,0.9959
1013075989885341697,7,abuse,N,0.9948
1013075989885341697,15,sexualized,A,0.996
1013075989885341697,17,link,V,0.9935
1013075989885341697,20,violence,N,0.9994
1013075989885341697,23,speak,V,0.9998
1013075989885341697,28,form,N,0.9977
1013075989885341697,30,violence,N,0.9786
1013075989885341697,32,woman,N,0.9823
1013075989885341697,34,girl,N,0.9965
1013053315935064064,2,world,N,0.9763
1013053315935064064,5,would,V,0.9961
1013053315935064064,6,ever,R,0.9626
1013053315935064064,9,say,V,0.9999
1013053315935064064,10,me,O,0.9975
1013053315935064064,15,transform,V,0.9997
1013053315935064064,18,momentum,N,0.9979
1013053315935064064,21,action,N,0.9992
1013030673186263045,4,celebrate,V,0.9884
1013030673186263045,5,woman,N,0.9831
1013030673186263045,8,lead,V,0.9911
1013030673186263045,10,charge,N,0.9889
1013030673186263045,13,medium,N,0.9937
1013008014117359616,0,happy,A,0.9673
1013008014117359616,3,day,N,0.9846
1013008014117359616,6,parliament,N,0.994
1013008014117359616,8,good,A,0.9952
1013008014117359616,10,society,N,0.9804
1012985372064780289,2,medium,N,0.9857
1012985372064780289,7,horn,N,0.9985
1012985372064780289,10,right,N,0.9989
1012985372064780289,13,voice,N,0.9969
1012985372064780289,15,miss,V,0.9689
1012985372064780289,21,accessibility,N,0.9994
1012985372064780289,27,gender,N,0.9851
1012985372064780289,28,gap,N,0.9963
1012962711037243392,0,find,V,0.9948
1012962711037243392,1,woman,N,0.9822
1012962711037243392,3,politics,N,0.9865
1012940062709960704,4,celebrate,V,0.9987
1012940062709960704,8,medium,N,0.9861
1012940062709960704,9,provide,V,0.997
1012940062709960704,11,space,N,0.9967
1012940062709960704,13,speak,V,0.9998
1012940062709960704,17,hear,V,0.9888
1012940062709960704,19,movement,N,0.9773
1012940062709960704,26,equality,N,0.9979
1012917408238063618,2,help,V,0.9992
1012917408238063618,4,world,N,0.9701
1012917408238063618,5,reach,V,0.9954
1012917408238063618,7,planet,N,0.9797
1012917408238063618,16,work,V,0.9912
1012917408238063618,18,equality,N,0.9886
1012902308814970880,0,happy,A,0.9605
1012902308814970880,3,day,N,0.994
1012902308814970880,5,get,V,0.9989
1012902308814970880,7,know,V,0.9989
1012902308814970880,9,activist,N,0.999
1012902308814970880,12,use,V,0.9798
1012902308814970880,14,medium,N,0.9924
1012902308814970880,19,equality,N,0.9978
1012902308814970880,22,right,N,0.9989
1012887213162541056,0,we,O,0.9865
1012887213162541056,4,part,N,0.9985
1012887213162541056,6,play,V,0.9984
1012887213162541056,11,violence,N,0.9992
1012887213162541056,16,get,V,0.9991
1012887213162541056,18,tip,N,0.9991
1012887213162541056,20,action,N,0.9926
1012887213162541056,25,young,A,0.9951
1012887213162541056,26,activist,N,0.9953
1012872598391263233,2,powerful,A,0.9986
1012872598391263233,3,actor,N,0.999
1012872598391263233,9,they,O,0.9912
1012872598391263233,10,make,V,0.9996
1012872598391263233,13,minority,N,0.9888
1012872598391263233,19,world,N,0.9916
1012872598391263233,22,time,N,0.9742
1012872598391263233,26,change,V,0.9882
1012826820276781058,1,new,A,0.9947
1012826820276781058,2,report,N,0.9865
1012826820276781058,6,strategically,R,0.9995
1012826820276781058,7,craft,V,0.995
1012826820276781058,9,message,N,0.9984
1012826820276781058,13,persuade,V,1.0
1012826820276781058,14,them,O,0.9767
1012826820276781058,16,adhere,V,0.9996
1012826820276781058,20,code,N,0.9994
1012826820276781058,23,model,N,0.9986
1012796627843764224,3,meet,V,0.9901
1012796627843764224,5,activist,N,0.9989
1012796627843764224,6,harness,V,0.9996
1012796627843764224,8,power,N,0.9971
1012796627843764224,11,medium,N,0.9904
1012796627843764224,14,woman,N,0.998
1012796627843764224,16,men,N,0.9669
1012796627843764224,18,tough,A,0.9872
1012796627843764224,19,conversation,N,0.9997
1012796627843764224,21,raise,V,0.9939
1012796627843764224,22,awareness,N,0.9946
1012796627843764224,24,gender,N,0.9608
1012796627843764224,25,equality,N,0.9978
1012796627843764224,28,right,N,0.9993
1012781532593836032,0,understand,V,0.9754
1012781532593836032,2,gender,N,0.9875
1012781532593836032,3,consideration,N,0.9978
1012781532593836032,6,violent,A,0.964
1012781532593836032,7,extremism,N,0.9845
1012781532593836032,9,critical,A,0.9932
1012781532593836032,15,executive,N,0.9896
1012781532593836032,16,director,N,0.9925
1012736039033753601,3,recently,R,0.9979
1012736039033753601,4,lose,V,0.9612
1012736039033753601,6,home,N,0.9996
1012736039033753601,9,eruption,N,0.999
1012736039033753601,14,play,V,0.9886
1012736039033753601,16,role,N,0.9975
1012736039033753601,18,rescue,N,0.9645
1012736039033753601,21,effort,N,0.9993
1012645628478967808,2,wear,V,0.9866
1012645628478967808,4,hat,N,0.997
1012645628478967808,7,purpose,N,0.995
1012645628478967808,12,violence,N,0.9989
1012643813104521217,12,hold,V,0.9839
